instance,algorithm,cost,permutation
bur26f,STEEPEST,3815978,17 25 20 9 18 22 6 5 12 21 8 0 3 11 7 1 24 10 16 13 4 14 23 15 2 19
bur26f,STEEPEST,3804088,9 20 3 21 18 4 22 25 16 6 8 19 23 0 17 14 2 10 13 12 11 1 24 7 15 5
bur26f,STEEPEST,3797314,11 22 5 4 10 7 2 21 13 14 1 8 25 9 20 24 0 18 16 17 12 6 19 15 3 23
bur26f,STEEPEST,3782696,7 23 13 1 17 20 3 25 18 8 24 0 14 19 9 4 21 10 12 11 16 22 5 2 15 6
bur26f,STEEPEST,3802860,7 9 23 20 18 1 3 24 16 6 8 19 14 0 17 4 22 10 13 11 12 2 15 25 21 5
bur26f,STEEPEST,3791009,15 7 3 20 16 1 23 9 12 21 6 19 14 17 25 4 24 10 13 11 18 22 5 0 2 8
bur26f,STEEPEST,3803383,8 2 4 21 17 1 0 9 16 25 7 3 23 14 18 19 22 13 10 12 11 20 5 24 15 6
bur26f,STEEPEST,3797361,21 20 7 4 12 8 0 1 13 3 19 5 6 15 10 9 23 16 17 18 11 25 2 24 14 22
bur26f,STEEPEST,3815684,17 15 19 9 18 21 24 25 13 3 8 20 1 10 7 0 6 11 16 12 4 2 23 5 14 22
bur26f,STEEPEST,3782838,15 22 14 0 16 19 3 9 18 8 24 11 21 20 5 4 2 12 13 10 17 23 25 1 7 6
bur26f,STEEPEST,3798908,14 0 8 24 13 7 4 19 12 21 3 6 25 15 11 9 23 16 18 17 10 5 22 1 20 2
bur26f,STEEPEST,3796938,21 0 7 5 11 25 4 19 13 22 1 15 6 8 12 9 3 18 17 16 10 24 20 2 14 23
bur26f,STEEPEST,3814020,12 3 24 22 11 14 23 0 18 6 2 15 7 16 21 4 1 9 17 13 10 5 20 25 8 19
bur26f,STEEPEST,3805134,15 22 21 20 16 14 2 9 7 23 6 11 0 18 24 4 1 10 12 13 17 3 5 19 8 25
bur26f,STEEPEST,3814041,11 3 15 22 12 14 23 0 18 24 1 5 7 16 20 4 2 9 17 13 10 6 21 25 8 19
bur26f,STEEPEST,3797702,10 20 8 4 12 7 23 1 13 3 19 24 25 15 0 9 2 16 18 17 11 5 21 6 14 22
bur26f,STEEPEST,3782654,7 19 1 14 17 0 20 8 16 25 24 13 3 2 9 4 23 12 11 10 18 22 5 21 15 6
bur26f,STEEPEST,3815931,18 15 3 9 17 22 25 24 12 21 7 19 20 13 8 14 5 10 16 11 4 1 23 6 2 0
bur26f,STEEPEST,3809395,1 0 7 15 11 25 6 4 12 21 3 8 5 10 13 19 22 18 9 16 17 24 20 14 2 23
bur26f,STEEPEST,3799006,20 4 7 6 11 8 19 22 12 2 23 24 5 15 10 9 21 16 17 18 13 25 1 0 14 3
bur26f,STEEPEST,3810923,20 23 5 8 10 7 9 14 12 21 3 6 25 13 11 22 0 16 15 18 17 24 19 1 2 4
bur26f,STEEPEST,3845302,16 0 4 20 12 19 23 6 13 22 21 7 8 17 15 3 24 11 9 10 18 1 2 25 14 5
bur26f,STEEPEST,3813703,11 23 25 7 10 22 9 4 12 2 19 24 6 13 18 14 8 16 15 17 1 5 0 3 21 20
bur26f,STEEPEST,3795143,14 2 7 15 13 5 24 4 11 20 23 8 25 12 3 9 21 18 17 16 10 6 22 19 1 0
bur26f,STEEPEST,3782479,8 2 1 23 18 21 20 7 16 5 6 13 19 14 9 4 3 10 11 12 17 22 25 0 15 24
bur26f,STEEPEST,3796952,14 4 24 7 13 5 21 0 11 20 23 8 25 9 12 15 22 18 16 17 10 6 3 2 1 19
bur26f,STEEPEST,3792299,15 7 21 19 16 0 2 9 18 23 6 14 3 17 24 4 22 13 12 10 11 20 25 5 8 1
bur26f,STEEPEST,3783182,8 0 10 20 18 1 3 7 16 25 24 21 4 2 9 19 23 12 13 11 17 22 6 14 15 5
bur26f,STEEPEST,3799061,8 14 1 22 17 3 20 5 15 9 25 10 2 19 18 4 21 12 11 13 16 23 7 0 6 24
bur26f,STEEPEST,3782838,15 14 3 2 16 21 23 9 18 8 25 11 0 20 5 4 19 10 13 12 17 22 24 1 7 6
bur26f,STEEPEST,3783507,15 14 11 22 16 3 19 9 18 8 5 20 1 21 24 4 0 12 10 13 17 23 6 2 7 25
bur26f,STEEPEST,3822399,11 5 4 22 18 19 2 24 9 0 6 13 23 16 12 25 1 17 14 10 15 3 8 21 7 20
bur26f,STEEPEST,3818684,11 23 24 14 12 6 4 0 18 22 20 7 25 16 1 15 21 17 10 13 9 5 2 19 8 3
bur26f,STEEPEST,3783436,15 2 12 1 16 20 19 7 18 3 25 22 14 4 9 21 24 13 10 11 17 0 5 23 8 6
bur26f,STEEPEST,3814087,18 3 6 25 12 23 1 19 11 20 21 5 15 13 17 14 8 10 9 16 4 24 2 7 22 0
bur26f,STEEPEST,3826518,12 25 15 19 17 0 3 14 18 21 24 20 1 16 13 5 2 11 4 10 9 22 7 23 8 6
